"","month","beijing_pm10","seoul_pm10"
"1",1,46.8965517241379,49.5862068965517
"2",2,41.4642857142857,48.0357142857143
"3",3,75.1034482758621,66.0689655172414
"4",4,66.1538461538462,60.1153846153846
"5",5,57.5172413793103,56.4137931034483
"6",6,52.6,47.9333333333333
"7",7,51.0967741935484,36.5161290322581
"8",8,46.9032258064516,39.6774193548387
"9",9,59.3333333333333,42.0666666666667
"10",10,75.5806451612903,40.4516129032258
"11",11,79.6153846153846,53.4230769230769
"12",12,73.8095238095238,47.6190476190476
