"","월","요일","mean"
"1","2018-01","월",51
"2","2018-01","화",49.6
"3","2018-01","수",47.6
"4","2018-01","목",46.75
"5","2018-01","금",59.75
"6","2018-01","토",55.5
"7","2018-01","일",57.5
"8","2018-02","월",60.75
"9","2018-02","화",54.25
"10","2018-02","수",48.75
"11","2018-02","목",64.5
"12","2018-02","금",59.75
"13","2018-02","토",46.5
"14","2018-02","일",52.75
"15","2018-03","월",50.75
"16","2018-03","화",34.25
"17","2018-03","수",41.25
"18","2018-03","목",54.6
"19","2018-03","금",61.6
"20","2018-03","토",65.8
"21","2018-03","일",55.5
"22","2018-04","월",52
"23","2018-04","화",47.5
"24","2018-04","수",47
"25","2018-04","목",70.5
"26","2018-04","금",52.5
"27","2018-04","토",49.75
"28","2018-04","일",50.4
"29","2018-05","월",48
"30","2018-05","화",41.4
"31","2018-05","수",48.4
"32","2018-05","목",53.4
"33","2018-05","금",43.5
"34","2018-05","토",30
"35","2018-05","일",48.5
"36","2018-06","월",42
"37","2018-06","화",42
"38","2018-06","수",40
"39","2018-06","목",36.75
"40","2018-06","금",43.2
"41","2018-06","토",36.2
"42","2018-06","일",43.75
"43","2018-07","월",27
"44","2018-07","화",35
"45","2018-07","수",32.5
"46","2018-07","목",31
"47","2018-07","금",29.25
"48","2018-07","토",22
"49","2018-07","일",18.8
"50","2018-08","월",22
"51","2018-08","화",25.75
"52","2018-08","수",26.8
"53","2018-08","목",23
"54","2018-08","금",21.4
"55","2018-08","토",22.5
"56","2018-08","일",30.5
"57","2018-09","월",21.75
"58","2018-09","화",25.25
"59","2018-09","수",22.5
"60","2018-09","목",18.25
"61","2018-09","금",23.25
"62","2018-09","토",27.4
"63","2018-09","일",19
"64","2018-10","월",37
"65","2018-10","화",32.4
"66","2018-10","수",27.8
"67","2018-10","목",24.25
"68","2018-10","금",28.75
"69","2018-10","토",31.25
"70","2018-10","일",39
"71","2018-11","월",70
"72","2018-11","화",60
"73","2018-11","수",39.5
"74","2018-11","목",46.4
"75","2018-11","금",48.2
"76","2018-11","토",50.5
"77","2018-11","일",54.5
"78","2018-12","월",42.4
"79","2018-12","화",47
"80","2018-12","수",43.75
"81","2018-12","목",43.25
"82","2018-12","금",51.25
"83","2018-12","토",44.8
"84","2018-12","일",43.35
