"","일자","교통량"
"366",20200101,7830459.80939747
"367",20200102,9962231.06908145
"368",20200103,10484246.5115088
"369",20200104,9620231.48778625
"370",20200105,8307640.91795858
"371",20200106,10031668.2529279
"372",20200107,9822077.17208708
"373",20200108,10218640.1460725
"374",20200109,10468905.5596896
"375",20200110,10646987.9010993
"376",20200111,9891031.24341955
"377",20200112,8544047.54743934
"378",20200113,10325782.7160347
"379",20200114,10458642.5527734
"380",20200115,10539022.0282285
"381",20200116,10631414.0026196
"382",20200117,10820598.7013278
"383",20200118,10109922.2811493
"384",20200119,8661367.04223709
"385",20200120,10588682.2088986
"386",20200121,10796237.1345748
"387",20200122,10837047.1013162
"388",20200123,10542910.2672889
"389",20200124,8171035.75071874
"390",20200125,8947434.32440834
"391",20200126,7880582.75661819
"392",20200127,7409683.78612444
"393",20200128,9861939.70790341
"394",20200129,10333152.8363544
"395",20200130,10472275.2763673
"396",20200131,10557634.6909819
"397",20200201,9269568.25085158
"398",20200202,7602835.18359447
"399",20200203,9971078.61369314
"400",20200204,10055054.2071861
"401",20200205,9593392.85852465
"402",20200206,9937099.24829619
"403",20200207,10302346.1147593
"404",20200208,9348685.64747625
"405",20200209,7733059.17547925
"406",20200210,9857034.23237628
"407",20200211,10158538.4482584
"408",20200212,9876600.15225125
"409",20200213,10282207.5526997
"410",20200214,10630075.7351828
"411",20200215,9613426.32960197
"412",20200216,7623288.50297485
"413",20200217,9304929.62003816
"414",20200218,10127001.7431236
"415",20200219,10228758.9512653
"416",20200220,10317394.5619397
"417",20200221,10385417.5839539
"418",20200222,9105954.91452312
"419",20200223,7381145.50991898
"420",20200224,9671566.16624984
"421",20200225,9343863.14231653
"422",20200226,9761302.26612983
"423",20200227,9856859.35422939
"424",20200228,9716419.78496658
"425",20200229,8449194.20890983
"426",20200301,6566557.16297502
"427",20200302,9686166.77933307
"428",20200303,9749724.38171915
"429",20200304,9790423.74593786
"430",20200305,9880413.52090383
"431",20200306,10160393.2908075
"432",20200307,8745676.16184283
"433",20200308,7104190.09707931
"434",20200309,9796666.79608393
"435",20200310,9512742.72618524
"436",20200311,10034675.977569
"437",20200312,10069861.935981
"438",20200313,10212987.2184416
"439",20200314,9042977.34699882
"440",20200315,7136791.8194993
"441",20200316,9797410.12863839
"442",20200317,9901536.02115217
"443",20200318,10062567.4976732
"444",20200319,9892365.23707723
"445",20200320,10376575.2980754
"446",20200321,9037174.03601032
"447",20200322,7400765.45992208
"448",20200323,9956102.70667382
"449",20200324,10073826.3952353
"450",20200325,10095401.1510976
"451",20200326,9981266.07186057
"452",20200327,10266169.8297936
"453",20200328,9162048.96302714
"454",20200329,7406717.15563741
"455",20200330,9921521.15162463
"456",20200331,10054441.7846867
